gene,CK_1,CK_2,CK_3,CK_4,CK_5,CK_6,NG_1,NG_2,NG_3,NG_4,NG_5,NG_6,MCFA_1,MCFA_2,MCFA_3,MCFA_4,MCFA_5,MCFA_6
AGPAT5,1.26,0.51,2,3.02,2.25,2.29,0.51,0.45,0.27,0.38,0.67,0.45,0.67,2.92,0.24,0.22,0.22,0.82
Apaf-1,2.84,3.01,2.65,4.81,8.47,2,2.72,0.42,2.09,2.54,1.3,0.84,0.87,3.86,2.65,1.33,4.27,0.19
CECB1,106.02,66.45,59.21,112,56.09,25.67,223.03,11.01,36.46,279.68,1016.39,714.35,11.97,102.54,485.45,452.23,18.06,98.28
CLIP11,223.34,247.06,204.56,132.66,73.94,102.75,261.62,388.83,458.08,156.72,347.82,267.23,99.48,128.49,264.91,314.35,55.88,172.51
ChiR1,0.57,0.08,0.73,0.2,1.62,0.21,0.21,0.08,0.08,0.03,0.01,0.09,0.12,8.95,0.06,0.36,0.16,0.05
Cyp314a1,0.84,0.2,0.96,0.6,1.47,0.16,0.14,0,0.04,0.15,0.09,0.11,0.02,0.5,0.3,0.17,0.05,0.2
EcR,16.17,8.13,16.83,10.82,34.61,9.77,4.06,5.04,5.07,4.68,4.26,6.83,7.68,32.08,9.49,12.49,1.51,6.48
Fib-l,1,0.7,2,2.48,16.05,6.82,22220.95,29997.1,2.16,15.45,4.4,12.2,0.88,0.78,21.38,0.45,28.84,31105.89
Ivd,40.65,40.26,48.9,42.62,99.47,45.71,22.34,14.38,14.36,26.25,29.32,22.11,34.6,43.94,28.66,24.35,16.8,22.71
LOC100302610,0.06,0.05,0.1,0.44,0.16,0.08,2.84,6.07,0.06,0.11,0.13,0.18,0.11,0.04,0.21,0.1,0.01,5.88
LOC100313491,0.07,0,0.04,0.07,0.22,0.1,7.71,27.49,0.09,0,0.11,0.04,0.02,0.04,0.12,0.04,0.02,20.67
LOC101735554,140.18,82.5,174.13,129.19,70.65,7.12,3.69,16.9,1.25,5.83,3,10.86,6.83,43.21,8.59,20.19,0.66,25.62
LOC101735694,12.1,4.8,11.52,21.73,26.3,2.23,0.48,2.38,0.11,0.47,0.52,2.28,2.58,35.52,0.89,3.26,0.06,3.45
LOC101735732,0.07,0.11,0,0,0,0.06,0.57,0.14,0.65,0.39,0.4,1.21,0.03,0,0.11,0.22,0.24,0.15
LOC101735793,3.59,1.66,0.99,0.74,1.98,3.33,7.17,3.27,5.46,6.46,1.99,4.16,8.06,1.21,1.71,4.35,3.12,4.54
LOC101736086,4.74,4.78,14.6,3.88,4.56,3.48,7.02,11.41,12.13,20.53,30.89,15.02,4.65,13.81,26.75,17.65,2.94,2.75
LOC101736188,12.17,9.73,17,9.44,12.82,8.33,5.32,5.03,4.76,8.17,5.85,3.13,5.86,9.06,9.36,6.46,12.07,5.25
LOC101736223,0.2,0.11,0.18,0.23,0.11,0.13,0.49,0.14,0.36,2.57,3.99,1.26,0.1,0.28,2.27,1.65,0.11,0.09
LOC101736335,125.3,223.28,144.89,100.78,76.5,124,105.56,180.83,335.12,248.73,379.1,254.63,150.6,114.92,369.84,199.98,83.38,101.69
LOC101736559,0.58,0.94,1.21,0.74,0.61,1.44,1.24,0.47,1.22,4.16,4.02,2.29,0.35,0.87,6.5,3.29,0.71,0.57
LOC101736840,6.49,4.14,7.28,9.45,10.41,6.95,2.64,3.61,1.78,2.28,3.49,2.82,3.26,15.86,6.24,3.53,3.22,1.86
LOC101737284,0.51,0.08,0.54,0.48,1.19,0,3.14,0.31,0.84,2.56,9.55,1.91,0,0.11,3.67,1,0.4,0.27
LOC101737344,12.54,39.15,21.26,16.15,6.5,14.81,23.7,34.16,46.25,49.79,66.05,47.28,21.12,4.57,49.79,45.04,14.78,23.19
LOC101737369,2.78,5.08,3.63,3.6,3.62,4.54,1.63,1.89,1.78,2.92,1.51,1.15,2.19,3.4,2.21,2.39,1.96,1.48
LOC101737493,8.14,2.8,1.49,1.09,3.11,3.28,3.01,2.38,11.38,12.38,8.63,10.65,9.16,15.66,20.05,5.64,4.81,0.71
LOC101737890,19.43,11.97,20.84,20.8,21.57,12.13,7.52,8.33,10.9,13.52,13.13,9.3,16.9,30.37,11.76,10.41,11.92,8.25
LOC101738407,47.9,59.14,69.22,43.23,17.84,46.68,35.75,56.16,137.66,100.22,149.37,119.3,48.37,28.47,130.1,62.8,49.34,33.77
LOC101738421,0.77,1.07,0.77,0.77,1.06,1.5,1.24,1.07,0.92,2.5,3.7,2.92,1.3,1.97,3.46,2.13,0.33,0.65
LOC101738492,371.48,435.37,1055.3,5688.71,2175.98,491.03,225.27,297.07,197.09,280.66,376.05,90.31,289.55,1756.58,897.5,349.52,1459.08,230.16
LOC101738720,6.3,3.58,5.96,17.36,12.82,5.88,2.55,2.69,3.28,3.58,2.61,2.26,3.79,12.09,4.65,5.32,4.96,3.46
LOC101739036,22.22,10.27,19.76,19.4,42.88,23.91,9.71,9.41,8.01,10.97,8.16,9.71,20.31,46.74,11.2,12.13,5.04,10.14
LOC101739047,45.1,19.12,27.55,26.16,55.18,26.16,8.35,15.81,16.16,12.53,13.26,19.4,31.95,108.31,34.61,33.3,5.86,7.08
LOC101739125,0.08,0.07,0.05,0.04,0.51,0.28,15.26,26.82,0.46,0,0,0,0,0,0.09,0.12,0,47.89
LOC101739184,1.59,1.62,1.62,0.88,1.59,0.88,1.81,1.18,1.47,5.02,4.38,2.18,1.23,3.93,7.7,3.59,0.46,0.68
LOC101739194,42.71,57.46,34.38,43.76,19.26,57.42,25.35,63.36,66.76,112.1,107.76,149.18,82.74,33.3,101.8,43.25,20.53,40.19
LOC101739536,40.3,26.7,16.11,12.47,11.09,15.52,117.53,2.9,17.72,157.24,458,335.12,4.39,28.99,201.09,192.62,10.5,15.75
LOC101739681,170.1,183.59,135.61,117.54,181.35,75.96,373.14,63.2,71.92,666.17,1846.09,1172.17,21.79,128.25,864.11,830.27,51.96,137.8
LOC101739894,35.34,21.7,32.63,25.93,131.9,42.5,12.4,13.5,10.7,16.4,15.43,19.17,44.66,26.03,20.18,19.57,11.1,25.93
LOC101739958,157.45,94.19,116.91,97.36,53.59,43.97,355.56,17.89,67.59,467.49,1467.93,935.28,15.56,105.62,676.11,693.91,37.54,134.47
LOC101740092,30.29,27,19.09,22.17,20.42,13.89,69.53,4.79,12.82,147.55,472.7,273.18,4.78,27.37,222.8,191.29,11.22,27.05
LOC101740180,0.47,0.23,0.29,0.32,0.29,0.19,57.43,87.7,0.45,0.13,0.28,0.28,0.28,0.36,0.74,1.12,0.32,130.35
LOC101740313,0.48,0.2,0.66,0.19,0.16,0,0.4,0.15,0.56,2.92,7.86,5.31,0.15,1.12,4.83,4.76,0.27,0.09
LOC101740339,0.43,0.4,0.18,0.28,0.31,0.76,0.2,0.62,0.86,2,1.98,1.52,1.21,0.96,1.45,0.53,0.74,0.45
LOC101740376,3.5,7.64,4.35,3.53,2.64,1.94,1.48,0.9,0.75,2.28,1.16,0.97,2.27,2.45,3.37,3.9,0.11,2.05
LOC101740431,0.81,0.46,1.06,1.02,1.95,0.75,0.41,0.43,0.42,0.42,0.22,0.3,0.66,1.93,0.68,0.66,0.46,0.36
LOC101740488,6.9,4.28,7.65,4.86,6.92,5.57,2.73,1.52,3.14,3.7,3.2,1.49,2.67,8.68,4.7,5.01,3.93,1.65
LOC101740786,92.04,46.67,45.22,90.37,303.47,243.49,64.13,13.32,49.48,70.91,9.74,77.08,91.35,186.55,78.08,42.67,65.05,84.3
LOC101740839,0.03,0.04,0.05,0,0.04,0.01,0.13,0.03,0.12,0.07,0.12,0.09,0.04,0.03,0.09,0.07,0.05,0.03
LOC101740862,19.01,0.12,5.72,8.5,16.35,0.08,9.85,16.86,8.3,5.29,0.11,0.14,0.17,17.15,25.94,0.14,0.09,13.78
LOC101741156,258.86,190.46,163.12,271.16,200.16,84.42,34.36,30.14,11.2,49.3,52.54,144.6,130.61,274.84,118.19,134.31,4.7,98.61
LOC101741167,16.79,8.53,14.92,21.05,41.43,15.51,9.81,6.43,8.25,7.44,5.96,7.3,14.42,34.07,10.43,9.32,7.09,6.51
LOC101741280,69.95,50.67,125.71,49.34,160.68,65.73,26.07,36.08,12.35,45.78,25.09,30.36,77.18,60.29,20.95,37.99,23.74,47.98
LOC101741357,1.05,0.91,0.64,0.51,0.83,1.2,1.01,0.75,0.82,3.02,5.16,2.51,0.68,1.26,5.3,2.56,0.27,0.5
LOC101741694,30.15,8.09,26.53,25.74,240.3,10.03,5.09,2.97,1.53,1.26,5.02,11.9,6.98,107.13,3.99,6.13,0.48,10.03
LOC101741883,4.52,1.99,3.85,3.55,8.34,3.85,2.09,1.53,2.23,2.11,1.65,1.14,3.33,9.29,3.38,3.61,1.5,1.08
LOC101742038,0.44,0.71,0.66,0.49,0.58,0.33,2.46,4.03,0.71,0.55,0.8,0.48,0.39,1.69,1.04,0.92,0.57,4.2
LOC101742127,1.35,0.46,0.65,0.52,1.96,0.61,5.19,2.82,4.54,21.23,113.62,11.23,0,5.76,59.46,8.56,1.45,5.96
LOC101742154,1.51,1.32,0.91,0.94,0.96,1.07,2.08,2.43,0.91,2.52,3.23,1.03,1,1.49,4.1,2.2,0.48,1.97
LOC101742160,33.38,23.66,38.9,15.8,16.05,14.73,9.13,6.61,7.85,10.34,6.34,5.79,9.97,15.7,17.72,34,1.73,6.33
LOC101742221,0.12,0.02,0.18,0.14,0.04,0,4.91,5.7,0.1,0.02,0.05,0,0,0,0.05,0.16,0.02,11.55
LOC101742274,3.05,1.37,2.65,4.66,0.08,0.04,0.27,0.06,0.05,0.06,0.19,0.11,0,0.12,0.33,0.51,0,0.26
LOC101742282,5.11,1.5,7.28,7.63,10.84,3.08,1.78,1.51,1.39,1.07,0.59,0.86,2.97,16.39,1.7,2.08,3,1.56
LOC101742898,10.45,4.4,6.72,6.28,14.97,8.47,2.31,3.36,3.53,3.8,3.4,4.7,9.06,23.26,8.37,8.41,2.32,3.52
LOC101743144,0.14,0.05,0.29,0.2,0.21,0.13,0,0.02,0.05,0.08,0.07,0.03,0.17,1.09,0.12,0.12,0.1,0.01
LOC101743302,10.73,3.48,11.64,4.09,18.47,4.78,2.13,2.33,3.32,2.58,3.49,3.79,4.7,18.4,4.29,6.37,1,2.79
LOC101743535,0.85,1.41,0.88,0.4,0.66,1.49,2.05,3.34,1.13,2.48,2.59,1.64,0.6,1.65,3.3,2.75,0.25,1.94
LOC101744048,11.77,4.59,6.6,12.59,7.95,8.14,21.01,4.28,13.25,110.45,285.63,127.53,6.55,7.5,244.57,69.66,10,9.25
LOC101744139,4.22,4.19,4.19,1.76,1.65,3.09,5.97,7.38,6.89,4.48,5.66,5.2,4.28,7.45,7.69,6.14,3.39,11.3
LOC101744519,50.44,32.64,37.5,75.96,112.37,45.71,16.45,8.66,10.81,21.77,21.35,11.42,28.89,66.16,19.63,19.05,8.65,11.33
LOC101744605,230.8,53.74,157.75,142.97,88.76,43.87,27.32,23.59,6.89,66.27,23.25,41.42,65.19,159.42,95.48,51.89,2.09,44.18
LOC101745875,10.33,9.52,14.65,11.03,19.75,15.16,5.47,5.47,6.31,8.23,3.83,5.1,8.11,10.91,6.42,10.1,6.11,10.92
LOC101746080,2.84,2.84,2.17,1.11,1.68,1.44,2.6,4.31,5.46,2.99,2.91,3.62,3.12,3.46,2.59,2.14,1.63,1.87
LOC101746387,3.53,4.99,3.7,3.23,11.02,10.31,18.74,24.66,16.26,5.8,17.18,17.07,5.79,8.89,14.36,2.96,5.62,20.36
LOC101746430,3.81,1.71,4.44,3.8,6.51,3.02,1.84,1.32,1.66,1.6,0.95,0.49,1.59,4.5,2.25,2.1,2.25,0.64
LOC101746460,179.94,67.09,122.91,59.77,458.78,106.99,37.81,15.39,29.8,29.48,12.11,26.43,88.15,109.25,13.31,37.82,20.28,61.15
LOC101746631,0.06,0,0.06,0,0.1,0.03,16.33,33.77,0.02,0.03,0.03,0,0,0,0,0,0,60.22
LOC101746686,0.16,3.13,0.2,0.64,0.38,0.49,0.07,0.21,0.05,0.04,0.15,0.02,0,0.08,0.04,0.09,0,0.12
LOC101747006,4.42,5.14,4.03,5.3,12.22,5.8,6.4,5.35,6.14,9.19,18.32,7.86,7.63,6.15,13.2,8.38,10.61,5.02
LOC101747119,0.99,0.88,0.82,0.43,0.68,0.61,2.71,2.52,1.56,1.43,1.47,1.65,1.13,3.66,2.99,0.85,1.24,1.81
LOC105841243,1.21,0.33,2.18,1,4.86,1.19,0.45,0.35,0.41,0.25,0.48,0.23,0.48,2.16,0.51,0.69,0.76,0.22
LOC105841368,37.39,3.37,10.75,7.74,63.48,31.1,9.1,3.27,0.69,8.49,0.49,1.7,22.73,8.3,2.04,15.07,3.48,14
LOC105841933,33.07,0.46,7.44,23.97,111.88,20.29,0.57,0.44,0.38,0.29,1.1,3.75,19.8,32.18,3.77,3.71,0.2,3.56
LOC105842396,4.61,6.17,19.72,16.23,12.15,5.39,3.02,5.89,1.86,4.31,3.46,1.2,5.34,5.58,4.97,5.8,4.65,3.46
LOC105842975,1.4,9.82,2.54,12.43,0.42,22.58,0.88,1.86,0,0.99,0.18,0,0.71,0,0,0.17,7.04,15.81
LOC110386044,1.36,3.73,1.3,0.75,2.79,2.13,0.24,0.84,0.94,1.07,0.52,0.19,1.31,2.75,1.3,0.68,0,0.21
LOC119628376,2.91,0,0,0,0.38,0.99,148.84,229.3,0.45,0,0,0.84,1.09,0.35,0,0.35,0,521.37
LOC119628400,2.39,1.44,1.94,0.84,2.75,2.5,0.79,0.35,0.3,0.58,0.64,0.91,2.65,4.18,2.24,2.55,0,0.34
LOC119629355,3.65,1.49,2.54,2.42,6.33,2.94,1.29,1.61,1.56,1.23,1.16,1.34,2.36,7.82,1.44,2.12,0.91,1.23
LOC119630585,1.76,0,0.06,0.3,1.76,0.07,293.91,470.61,0.71,1.79,0.12,3.43,1.41,0.68,0,0.73,0.01,610.03
